id|name|continent|flag_url|gold_medals|silver_medals|bronze_medals|total_medals|rank|rank_total_medals|DataCollectionDate
STP|São Tomé e Príncipe|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/STP.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SEN|Senegal|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SEN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SEY|Seicheles|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SEY.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SLE|Serra Leoa|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SLE.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SOM|Somália|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SOM.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SRI|Sri Lanka|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SRI.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SSD|Sudão do Sul|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SSD.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SUD|Sudão|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SUD.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SUR|Suriname|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SUR.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SWZ|Essuatíni|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SWZ.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TAN|Tanzânia|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TAN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TLS|Timor-Leste|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TLS.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TOG|Togo|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TOG.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TGA|Tonga|OCE|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TGA.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TTO|Trinidad e Tobago|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TTO.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TKM|Turcomenistão|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TKM.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
TUV|Tuvalu|OCE|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/TUV.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
URU|Uruguai|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/URU.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
VAN|Vanuatu|OCE|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/VAN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
VEN|Venezuela|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/VEN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
VIN|S. Vicen. e Granadi.|AME|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/VIN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
VIE|Vietnã|ASI|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/VIE.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
ZIM|Zimbábue|AFR|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/ZIM.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
AIN|AIN||https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/AIN.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
SAM|Samoa|-|https://codante.s3.amazonaws.com/codante-apis/olympic-games/flags/SAM.png|0|0|0|0|0|0|2025-01-11T05:20:35.761581
