BK3|3x3 Basketball|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BK3.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BK3-dark.avif|2025-01-11 12:22:16.918460
ARC|Archery|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ARC.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ARC-dark.avif|2025-01-11 12:22:16.918460
GAR|Artistic Gymnastics|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GAR.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/GAR-dark.avif|2025-01-11 12:22:16.918460
SWA|Artistic Swimming|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SWA.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/SWA-dark.avif|2025-01-11 12:22:16.918460
ATH|Athletics|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ATH.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/ATH-dark.avif|2025-01-11 12:22:16.918460
BDM|Badminton|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BDM.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BDM-dark.avif|2025-01-11 12:22:16.918460
BKB|Basketball|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKB.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKB-dark.avif|2025-01-11 12:22:16.918460
VBV|Beach Volleyball|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/VBV.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/VBV-dark.avif|2025-01-11 12:22:16.918460
BOX|Boxing|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BOX.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BOX-dark.avif|2025-01-11 12:22:16.918460
BKG|Breaking|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKG.avif|https://codante.s3.amazonaws.com/codante-apis/olympic-games/pictograms/BKG-dark.avif|2025-01-11 12:22:16.918460
